Tipo,Campos presentes,Número de facturas,Primera factura,Campos faltantes
Tipo 1,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:descuento, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:ship01, emp:ship03, emp:ship05, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",979,fp200138.txt,"infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 2,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:ship01, emp:ship03, emp:ship05, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",488,fp200139.txt,"infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, com:descuento, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 3,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:descuento, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",2415,fp200140.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, emp:ship01, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 4,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:noInterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",297,fp200147.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, com:descuento, emp:ship01, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 5,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:descuento, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:obs02, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:cantidadConLetra, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx",559,fp200151.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, tot:txtIEPS, add:valor, cExt:Incoterm, cExt:Version, tot:auxIEPS, cExt:Subdivision, cExt:TipoCambioUSD, emp:ship01, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, tot:etiqIEPS, add:negociacion"
Tipo 6,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",1971,fp200152.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, com:descuento, emp:ship01, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 7,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:ship01, emp:ship03, emp:ship05, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:noInterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",546,fp200155.txt,"infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, com:descuento, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 8,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:descuento, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:noInterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",386,fp200159.txt,"emp:ship05, infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, emp:ship01, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship03, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 9,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, com:Exportacion, com:condicionesDePago, com:ctaPago, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:obs01, emp:ordComp, emp:ordEnt, emp:ordSal, emp:ship01, emp:ship03, emp:ship05, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:nombre, re:pais, re:paisPDF, re:rfc, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",1649,fp200162.txt,"infoG:Meses, add:qadTipoAddenda, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:noInterior, re:NumRegIDTrib, re:referencia, re:telefono, cExt:CertificadoOrigen, emp:ship02, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, com:descuento, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship04, infoG:Periodicidad, add:negociacion"
Tipo 10,"FA:Docto, FA:FormaPagoPDF, FA:InfoCta, FA:InfoTit, FA:ResumenTax, FA:TipoComprobante, FA:UsoCfdi, FA:email, FA:frmPago, FA:gpoMerza, FA:impresora, FA:numeroCopiasPorImprimir, FA:status, add:qadTipoAddenda, com:Exportacion, com:condicionesDePago, com:ctaPago, com:descuento, com:fecha, com:folio, com:formaPago, com:frmPago, com:lugarExpedicion, com:metodoPago, com:moneda, com:noCertificado, com:serie, com:subTotal, com:tipoCambio, com:tipoDeComprobante, com:total, em:PDFcolonia, em:PDFestado, em:PDFmunicipio, em:PDFpais, em:calle, em:codigoPostal, em:colonia, em:curp, em:estado, em:localidad, em:municipio, em:noExterior, em:nombre, em:pais, em:regimenFiscal, em:regimenFiscalPDF, em:rfc, em:telefono, emp:diaFac, emp:diaPag, emp:extra03Banco, emp:extra03Clabe, emp:extra03Cuenta, emp:extra03Ref, emp:extra04Banco, emp:extra04Clabe, emp:extra04Cuenta, emp:extra04Ref, emp:extra05Banco, emp:extra05Clabe, emp:extra05Cuenta, emp:extra05Ref, emp:interesPag, emp:lisPrec, emp:mesFac, emp:mesPag, emp:nomAge1, emp:numCliente, emp:numGuia, emp:numped, emp:ordComp, emp:ordEnt, emp:ordSal, emp:ship01, emp:ship03, emp:ship05, emp:sumaBultos, emp:sumaKilos, emp:trans1, emp:yearFac, emp:yearPag, ex:nombre, imp:totaldeimpuestosTrasladados, re:CPLabel, re:CPPDF, re:DomicilioFiscalReceptor, re:RegimenFiscalReceptor, re:UsoCFDI, re:calle, re:codigoPostal, re:colonia, re:estado, re:estadoPDF, re:idFiscal, re:localidad, re:municipio, re:noExterior, re:noInterior, re:nombre, re:pais, re:paisPDF, re:rfc, re:telefono, tipoDocumento, tot:IEPS, tot:IEPSMx, tot:IVA, tot:auxIEPS, tot:cantidadConLetra, tot:etiqIEPS, tot:ivaMx, tot:subTotal, tot:subTotalMx, tot:subtotalSinDescuentosSinIva, tot:total, tot:totalMx, tot:txtIEPS",136,fp200173.txt,"infoG:Meses, cExt:ClaveDePedimento, com:auxCambio, cExt:TipoOperacion, emp:obs02, add:pedido, cExt:TotalUSD, re:NumRegIDTrib, re:referencia, cExt:CertificadoOrigen, emp:ship02, emp:obs01, infoG:Anio, FA:TxtRelacion, add:almacen, com:etiqCambio, cExt_Receptor:NumRegIdTrib, FA:DescRelacionUUID, add:valor, cExt:Incoterm, cExt:Version, cExt:Subdivision, cExt:TipoCambioUSD, re:ResidenciaFiscal, cExt_Emisor:Curp, cExt_Domicilio:CodigoPostalCP, emp:ship04, infoG:Periodicidad, add:negociacion"
